data,url_noticia,url_noticia_curto,titulo,conteudo_noticia,assunto,assunto_ex,titulo_ex,subtitulo_ex,local_ex,artigo_ex,n_paragrafos
2019-11-06,https://web.archive.org/web/20191106000035/https://globoesporte.globo.com/sp/tem-esporte/futebol/noticia/caso-milton-mendes-em-nota-tecnico-nega-acusacao-de-estupro-em-sorocaba-mentirosa.ghtml,https://globoesporte.globo.com/sp/tem-esporte/futebol/noticia/caso-milton-mendes-em-nota-tecnico-nega-acusacao-de-estupro-em-sorocaba-mentirosa.ghtml,"Caso Milton Mendes: em nota, técnico nega acusação de estupro em Sorocaba: ""Mentirosa"""," O técnico Milton Mendes voltou a se defender, agora através de nota oficial, da acusação de um suposto estupro feita pela copeira do hotel onde se hospedava em Sorocaba, interior de São Paulo, quando dirigia o São Bento. O treinador pediu demissão da equipe no último sábado alegando problemas familiares.  Na última quinta-feira, dia 31 de outubro, a copeira do hotel onde Milton Mendes morava em Sorocaba e que o São Bento se hospedava às vésperas dos jogos registrou boletim de ocorrência acusando o treinador de ter beijado a sua boca e ter esfregado o órgão genital no corpo dela.  Até o momento, a polícia ouviu duas testemunhas além da copeira. Outra funcionária do hotel prestará depoimento ainda nesta semana. Um inquérito foi aberto para a investigar o caso.  Segundo a delegada da Delegacia da Mulher de Sorocaba (DDM), Ana Luiza Salomone, imagens do circuito interno do hotel foram encaminhadas para o Instituto de Criminalística para a elaboração de um laudo técnico.  Milton Mendes será ouvido pela polícia e tem prazo de 30 dias a partir de 4 de novembro para se apresentar à delegacia. Ele ainda não foi intimado por não ter residência fixa, por ainda estar, em tese, morando no hotel onde teria acontecido o caso em Sorocaba.  O boletim de ocorrência registra o caso no artigo 213 do código penal, que trata de estupro. A pena prevista, em caso de condenação, é entre seis e dez anos de prisão.  Confira abaixo a nota oficial na íntegra do técnico Milton Mendes:   Causou-me indignação a falsa acusação que veio a público no último sábado em que sou acusado de ter molestado uma funcionária do hotel em que me hospedava em Sorocaba.  Desde o primeiro momento que soube da acusação, já acionei advogados me colocando à disposição da Polícia, do Ministério Público e do Poder Judiciário em geral para prestar todo esclarecimento necessário.  Nego e repudio qualquer acusação simplesmente pois ela é falsa, leviana e mentirosa, e faço questão que meus advogados acompanhem toda a investigação. Gostaria que o hotel fornecesse para a Polícia e para a imprensa imagens do hotel, não só para ficar claro que não cometi nenhum abuso, como também para ver a forma educada e urbana que trato todos os funcionários.  Faz mais de 30 anos que vivo em hotéis e concentrações, e sempre tratei os funcionários dos clubes em que trabalho, e das centenas de hotéis em todo o mundo por onde me hospedo, de maneira cortês, atenciosa e com carinho.  Não agarrei a citada senhora, nem tão pouco tentei beijá-la. Inclusive sempre tive um tratamento de educação e respeito pela mesma, estranhando essa acusação.  Minha família é, basicamente, de mulheres e jamais faltaria ao respeito com quem quer que seja. Minha esposa está em Portugal e não vem bem de saúde, assim como minha mãe, hospitalizada em Criciúma.  Tenho uma filha de 17 anos um filho de 24 que estão sofrendo muito e duas irmãs e essa grave e mentirosa acusação não tem qualquer base. Não vejo explicação para essa exploração em cima do meu nome. Até porque, o legal e o correto, em situações dessa natureza, é que não seja exposto o nome dos envolvidos.  Por que o meu nome foi apresentado e o da senhora que fez a grave acusação foi preservado? Tem alguma coisa errada por trás dessa falsa denúncia que não consigo alcançar. Ou seria para causar alguma instabilidade no clube em que eu atuava, ou até para se buscar alguma vantagem no futuro.  Reitero que não estarei medindo esforços para que fique provado que todo esse enredo criado é uma farsa e não medirei esforços para os responsáveis por essas inverídicas e graves acusações sejam punidos. ",esportes,,,,,,
2019-11-06,https://web.archive.org/web/20191106000035/https://globoesporte.globo.com/futebol/futebol-internacional/liga-dos-campeoes/noticia/ajax-tem-dois-zagueiros-expulsos-chelsea-marca-dois-gols-contra-e-times-empatam-em-4-a-4.ghtml,https://globoesporte.globo.com/futebol/futebol-internacional/liga-dos-campeoes/noticia/ajax-tem-dois-zagueiros-expulsos-chelsea-marca-dois-gols-contra-e-times-empatam-em-4-a-4.ghtml,"Ajax tem dois zagueiros expulsos, Chelsea marca dois gols contra e times empatam em 4 a 4"," Foram 13 gols em duas partidas na noite do Grupo H da Liga dos Campeões. Em Londres, Chelsea e Ajax empataram em 4 a 4; já na Espanha, o Valencia derrotou o Lille de virada por 4 a 1. Ao fim da quarta rodada da fase de grupos, os três primeiros colocados do Grupo H estão empatados com 7 pontos. Os ingleses lideram a chave pelo critério do confronto direto, seguidos do time holandês e dos espanhóis.  >>> Clique aqui e veja a tabela da Liga dos Campeões <<<  A partida entre Chelsea e Ajax começou quente. Logo aos cinco minutos do primeiro tempo já estava 1 a 1, com Abraham marcando contra e Jorginho empatando para os ingleses. Ao fim da etapa inicial, Promes e Kepa (também contra) deixaram os visitantes chegarem a 3 a 1. O Ajax ainda ampliou com Van de Beek. Mas, depois que Veltman e Blind foram expulsos no mesmo lance após receberem o segundo amarelo, o Chelsea pressionou, empatou e só não virou porque o VAR invalidou o gol da virada marcado por Azpilicueta por causa de um toque de mão.  Quem também viveu uma noite intensa foram os envolvidos em Valencia 4 x 1 Lille. O time francês saiu na frente aos 25 minutos do primeiro tempo. Com 20 do segundo, Parejo empatou de pênalti e o clube espanhol marcou mais três gols nos últimos 10 minutos da etapa final.  >>> Leipzig não se intimida com festa e mosaico e vence Zenit na Rússia, pela Liga dos Campeões <<<  A próxima rodada da Liga dos Campeões será no dia 27 de novembro, em que Valencia e Chelsea fazem um confronto direto pela parte de cima. Já o Ajax vai até a França encarar o Lille, que ainda não tem nenhuma vitória na competição e seu único ponto foi diante do Valencia, em casa. ",esportes,,,,,,
2019-11-07,https://web.archive.org/web/20191107000009/https://globoesporte.globo.com/futebol/futebol-internacional/liga-dos-campeoes/noticia/rodrygo-diz-que-nao-sabia-de-tantos-recordes-tudo-esta-acontecendo-muito-rapido.ghtml,https://globoesporte.globo.com/futebol/futebol-internacional/liga-dos-campeoes/noticia/rodrygo-diz-que-nao-sabia-de-tantos-recordes-tudo-esta-acontecendo-muito-rapido.ghtml,Rodrygo diz que não sabia de tantos recordes: “Tudo está acontecendo muito rápido”," As coisas têm acontecido em velocidade sobrenatural para Rodrygo no Real Madrid. Como um raio, talvez? A revelação do Santos tornou-se titular nas últimas semanas e, nesta quarta-feira, teve a atuação da carreira com um hat-trick e uma assistência nos 6 a 0 sobre o Galatasaray, no Santiago Bernabéu, pela Liga dos Campeões.  Após o jogo, Rodrygo tinha até dificuldades para acompanhar os recordes que tinha alcançado. Ele é o brasileiro mais jovem a ter marcado na Champions, o segundo mais jovem a ter feito três gols e o mais jovem a ter anotado um hat-trick perfeito: gol com a direita, esquerda e de cabeça.  - Nem eu sabia disso. Acho que não tenho nem palavras. Tudo está acontecendo muito rápido, nem nos melhores sonhos esperava que fosse assim. Estou muito feliz e espero que siga assim, vou continuar me dedicando – disse ao “Esporte Interativo”.  Como é tradicional, o brasileiro levou a bola para casa após o jogo, mas ainda não sabe como vai eternizar esta noite tão especial.  - Não sei o que vou fazer ainda. Tenho mural na minha casa no Brasil, na Espanha ainda não montei. Tenho do meu primeiro hat-trick no Santos (sobre o Vitória em junho de 2018), agora o primeiro no Real. Vou pensar no que fazer.  Rodrygo foi titular pelo quarto jogo consecutivo e em dois deles ficou em campo todos os 90 minutos. Apesar de estar à frente de Vinicius Junior e outros companheiros de posição, o atacante não se considera titular com Zidane:  - Difícil dizer que sou titular com tantos outros grandes jogadores. Me sinto numa fase boa, a bola está entrando, os passes saindo, dei a minha primeira assistência na temporada. Não dá para me sentir titular, mas estou numa fase boa e espero que continue assim.  Outro destaque da noite, Benzema falou sobre o companheiro, com quem trocou assistências. ",esportes,,,,,,
2019-11-08,https://web.archive.org/web/20191108000015/https://globoesporte.globo.com/futebol/times/botafogo/noticia/torcedores-do-botafogo-agridem-homem-a-paisana-e-policia-dispersa-confusao-no-engenhao.ghtml,https://globoesporte.globo.com/futebol/times/botafogo/noticia/torcedores-do-botafogo-agridem-homem-a-paisana-e-policia-dispersa-confusao-no-engenhao.ghtml,"Torcedores do Botafogo agridem homem à paisana, e polícia dispersa confusão no Nilton Santos"," Os momentos que antecederam o clássico entre Botafogo e Flamengo foram de confusão nos arredores do Estádio Nilton Santos. Na entrada do Setor Leste, torcedores do Alvinegro agrediram com socos e pontapés e roubaram o ingresso de um rapaz que disse não ter time. A polícia precisou intervir e dispersou a confusão com balas de borracha e gás de pimenta.  + Acompanhe em tempo real Botafogo x Flamengo  Com a possibilidade de possíveis invasões de rubro-negros aos setores destinados ao Botafogo, os torcedores abordaram pessoas do lado de fora para perguntar o time na tentativa de encontrar flamenguistas infiltrados. Um rapaz de camisa branca foi agredido por vários botafoguenses, teve seu ingresso roubado e só parou de ser linchado quando encontrou policiais militares.  No vídeo, é possível ver ele argumentando com um dos policiais: ""Eu não tenho time, não"".  Em seguida, a polícia dispersou a confusão com o uso de tiros de bala de borracha e spray de pimenta.  Outro torcedor foi detido pelos policiais acusado de furtar o celular de um torcedor alvinegro.  Nesta semana, o Botafogo informou que aumentaria em mais de 100% o efetivo de seguranças contratados temendo confusões no estádio. O clube ainda fez campanha pedindo para que seus torcedores entrassem no Nilton Santos uniformizados para evitar possíveis invasores adversários nos setores destinados ao Alvinegro.  Durante a partida, válida pela 31ª rodada do Campeonato Brasileiro, um torcedor sofreu agressão no setor leste superior do Nilton Santos no fim do primeiro tempo. ",esportes,,,,,,
2019-11-08,https://web.archive.org/web/20191108000015/https://globoesporte.globo.com/futebol/times/corinthians/noticia/corinthians-anuncia-contratacao-tiago-nunes.ghtml,https://globoesporte.globo.com/futebol/times/corinthians/noticia/corinthians-anuncia-contratacao-tiago-nunes.ghtml,Corinthians anuncia contratação do técnico Tiago Nunes," O Corinthians chegou nesta quinta-feira a um acerto com o técnico Tiago Nunes. Ele será o substituto de Fábio Carille no comando do elenco alvinegro, mas só chegará ao clube no fim do ano. O contrato será por uma temporada, até o fim do mandato do presidente Andrés Sanchez, em dezembro de 2020.  O clube fez o anúncio por meio de seu Twitter após uma reunião com o empresário do treinador na tarde desta quinta, no CT Joaquim Grava, que definiu os últimos detalhes do contrato.  A diretoria corintiana tentou já trazer o treinador para a reta final da temporada, mas ele preferiu rejeitar a proposta. Como não houve entendimento com o Athletico, acabou decidindo tirar férias nos meses finais do ano. Dyego Coelho comanda o Timão interinamente na reta final do Brasileirão.  Com Tiago Nunes, três jogadores podem chegar também do Athletico: Marcelo Cirino, que está em fim de contrato, além dos emprestados Pedro Henrique e Camacho.  + Veja o provável time do Corinthians para o Dérbi  Os dois clubes disputaram Tiago Nunes nos últimos dias: o Timão ofereceu um ano de contrato e um salário maior; o Athletico ofereceu dois anos de vínculo, mas com vencimentos menores. A saída do Furacão acabou sendo pouco amistosa, com críticas oficiais do clube à postura do treinador.  Tiago Nunes tem 39 anos e nasceu em Santa Maria-RS. Ele chegou ao Athletico em 2017, depois de circular por clubes menores, especialmente no Sul. Um ano depois, subiu do time sub-23 para o elenco profissional, como substituto de Fernando Diniz. E fechou a temporada com a conquista da Copa Sul-Americana.  Este ano, se consolidou no cargo com outra grande conquista. Venceu a Copa do Brasil, deixando Flamengo, Grêmio e Inter no caminho até a taça.  PERFIL  Com Tiago Nunes, o Corinthians busca um novo modelo de jogo, mais ofensivo em comparação aos tempos de Fábio Carille. A diretoria se impressionou o rendimento do Athletico em um jogo contra o próprio Corinthians, no qual o Furacão, mesmo sem muitos titulares, conseguiu ter controle da partida e empatar por 2 a 2 na Arena.  Em processo de readequação de sua comissão técnica, a diretoria do Timão também ficou satisfeita por o treinador exigir poucos profissionais de sua confiança na negociação. ",esportes,,,,,,
2019-11-08,https://web.archive.org/web/20191108000015/https://globoesporte.globo.com/df/noticia/senador-apresenta-projeto-no-congresso-para-obrigar-divulgacao-de-audios-e-videos-do-var.ghtml,https://globoesporte.globo.com/df/noticia/senador-apresenta-projeto-no-congresso-para-obrigar-divulgacao-de-audios-e-videos-do-var.ghtml,Senador apresenta projeto no Congresso para obrigar divulgação de áudios e vídeos do VAR," As polêmicas envolvendo o uso do VAR, constantes nas resenhas sobre futebol rodada após rodada, chegaram também ao Congresso Nacional, em Brasília. Nesta quinta-feira, foi protocolado no Senado Federal um projeto de lei com o objetivo de obrigar a divulgação de toda a comunicação de áudio entre os árbitros e assistentes, além dos vídeos utilizados para embasar as decisões.  O projeto foi apresentado pelo senador Nelsinho Trad (PSD-MS) e tem apenas três artigos. Prevê a criação do Programa de Transparência dos Árbitros Assistentes de Vídeos e dos Áudios, com objetivo de determinar que, em todos os jogos no futebol brasileiro com uso do árbitro de vídeo, sejam divulgados aos veículos que estejam transmitindo a partida:  Ainda de acordo com a proposta, a regulamentação seria feita pela CBF, em um prazo de 30 dias após a aprovação do projeto.  ""Vivemos um momento da informação imediata, onde todos e todas têm acesso a tudo, a qualquer hora e a qualquer momento... Acreditamos que esta proposta trará transparência para a população, imprensa e principalmente para o futebol brasileiro durante as partidas"", diz trecho da justificativa do senador para a apresentação do projeto"", diz trecho da justificativa apresentada pelo senador para a apresentação do projeto.  O PL, de número 5.926 de 2019, inicia a tramitação pela Comissão de Educação, Cultura e Esporte do Senado, com abertura do prazo para apresentação de emendas. A proposta tem caráter terminativo - ou seja, caso aprovada nas comissões, não teria necessidade de passar por votação em plenário para se tornar Lei. ",esportes,,,,,,
2019-11-09,https://web.archive.org/web/20191109000015/https://sportv.globo.com/site/programas/selecao-sportv/noticia/quem-e-melhor-entre-os-idolos-de-palmeiras-e-corinthians-alex-x-marcelinho-e-mais-vote.ghtml,https://sportv.globo.com/site/programas/selecao-sportv/noticia/quem-e-melhor-entre-os-idolos-de-palmeiras-e-corinthians-alex-x-marcelinho-e-mais-vote.ghtml,Quem é melhor entre os ídolos de Palmeiras e Corinthians? Alex x Marcelinho e mais; vote," O ""Quem é Melhor"" do Seleção SporTV desta sexta-feira foi uma disputa entre ídolos de Palmeiras e Corinthians. Ana Thaís Matos, Carlos Eduardo Lino e Jader Rocha votaram em confrontos como Alex x Marcelinho Carioca, Marcos x Dida, entre outros.  Palmeiras e Corinthians se enfrentam neste sábado, às 19h, no Pacaembu, pela 32ª rodada do Campeonato Brasileiro.  Veja abaixo os votos de cada jornalista e vote você mesmo.  Ana Thaís: AlexCarlos Eduardo Lino: MarcelinhoJader Rocha: Alex  Ana Thaís: Ademir da GuiaCarlos Eduardo Lino:  RivellinoJader Rocha: Rivellino  Ana Thaís: MarcosCarlos Eduardo Lino: MarcosJader Rocha: Marcos  Ana Thaís: Vampeta e RincónCarlos Eduardo Lino: César Sampaio e MazinhoJader Rocha: César Sampaio e Mazinho  Ana Thaís: Edmundo Carlos Eduardo Lino: EdmundoJader Rocha: Edmundo  Ana Thaís: CasagrandeCarlos Eduardo Lino: CasagrandeJader Rocha: Casagrande ",esportes,,,,,,
2019-11-09,https://web.archive.org/web/20191109000015/https://globoesporte.globo.com/mg/futebol/noticia/com-palavrao-sassa-do-cruzeiro-volta-a-responder-empresario-de-bruno-guimaraes-que-encerra-polemica.ghtml,https://globoesporte.globo.com/mg/futebol/noticia/com-palavrao-sassa-do-cruzeiro-volta-a-responder-empresario-de-bruno-guimaraes-que-encerra-polemica.ghtml,"Com palavrão, Sassá, do Cruzeiro, volta a responder empresário de Bruno Guimarães, que encerra polêmica"," A polêmica envolvendo o atacante Sassá e Alexis Malavolta, empresário de Bruno Guimarães, jogador do Athletico-PR, continua, mas parece ter chegado ao último capítulo. Nesta sexta, o atleta cruzeirense utilizou sua conta no Instagram e para dizer que só não iria proferir um palavrão (vai tomar...) contra o agente porque está ""mudando"".  A mensagem de Sassá foi publicada por volta das 15h30 (de Brasília) no perfil oficial do atacante.  - Ao empresário do Bruno Guimarães, eu só não te mando tomar (...) pq eu estou mudando - escreveu o jogador.  Procurado, o empresário disse que não gostaria de se pronunciar e o que assunto estava encerrado para ele.  - Que Deus abençoe ele apenas! Pra mim esse assunto se encerra por aqui. Sem mais!  Nessa quinta-feira, Malavolta usou as redes sociais para reclamar da entrada de Sassá, do Cruzeiro, no volante, durante o duelo entre o Furacão e a Raposa, na quarta-feira, na Arena da Baixada. Em postagem no Twitter, o agente afirmou que Sassá foi covarde por não pedir desculpas ao companheiro de profissão, após um chute na altura da canela.  - A covardia de um profissional chamado Sassá é que nem desculpa pediu ao Bruno Guimarães. Quando analisamos o desespero do Son (jogador do Tottenham) quando machucou André Gomes (do Everton) é de se refletir.. Para o Sassá segue a vida louca dele. Parabéns profissional Sassá! (sic)  O lance foi aos 47 minutos do primeiro tempo da partida, que terminou sem gols. Sassá recebeu a bola na entrada da área, girou e tentou o arremate. Bruno ficou com a bola, e o cruzeirense acabou acertando a perna do atleticano (veja abaixo). Na quinta-feira, o Athletico-PR confirmou oficialmente que Bruno Guimarães sofreu uma lesão ligamentar no tornozelo.  Ainda na quinta, ao ser questionado sobre a declaração de Malavolta na chegada a Belo Horizonte, Sassá preferiu não entrar em polêmica. O atacante diz que não viu Bruno Guimarães chegando e que também precisou receber atendimento em função de dores geradas pelo lance.  - Foi um lance muito rápido, cara. Na hora, não vi ele entrando. Não foi só ele que sentiu. Eu também fiquei com dificuldade para andar. Mas é coisa de jogo. Ele está disputando o dele, e eu disputando o meu, então não tenho mais nada para falar sobre isso.  Sassá levou cartão amarelo pela jogada. No início do segundo tempo, o atacante cruzeirense recebeu outro amarelo e acabou expulso ao levar uma bola com o braço, em lance de ataque. O centroavante cruzeirense será desfalque no clássico contra o Atlético-MG, neste domingo, às 16h (de Brasília), no Mineirão, pela 32ª rodada do Campeonato Brasileiro. ",esportes,,,,,,
2019-11-09,https://web.archive.org/web/20191109000015/https://globoesporte.globo.com/futebol/futebol-internacional/futebol-italiano/noticia/torcida-do-brescia-critica-balotelli-apos-racismo-deveria-ter-dado-lugar-a-alguem-menos-nervoso.ghtml,https://globoesporte.globo.com/futebol/futebol-internacional/futebol-italiano/noticia/torcida-do-brescia-critica-balotelli-apos-racismo-deveria-ter-dado-lugar-a-alguem-menos-nervoso.ghtml,"Torcida do Brescia critica Balotelli após racismo: ""Deveria ter dado lugar a alguém menos nervoso"""," Depois do episódio de racismo que sofreu diante do Hellas Verona, Mario Balotelli foi criticado, desta vez, pelos torcedores do próprio time. O Ultras Brescia 1911 EX-Curva Nord publicou um texto intitulado: ""Balotelli: fique calmo e... sue a camisa"". A publicação faz referência à reação que o atacante italiano teve diante da torcida do time de Verona na partida que terminou 2 a 1 para o time da casa.  O GloboEsporte.com separou um trecho abaixo da publicação. Nela, os ultras alegam que o jogador estava muito nervoso e tentam diminuir o racismo sofrido pelo atacante.  - Se não estava preparado psicologicamente para encarar os torcedores do Verona e - principalmente - em um jogo tão importante quanto o de domingo, em que uma cidade jogou a salvação de um treinador - entre os mais amados - (Balotelli) deveria ter dito e dado lugar a alguém menos... nervoso do que ele; ninguém ficaria chateado  + Balotelli encara racismo da torcida do Hellas Verona, ameaça sair de campo e faz golaço quase no fim+ Líder dos ultras de Verona chama de palhaçada a reação de Balotelli, que rebate: ""Acorde, ignorante""+ Prefeito de Verona também nega racismo contra Balotelli, que é defendido por jornal+ Verona terá que jogar com parte da arquibancada fechada como punição por racismo a Balotelli  Ao longo do comprido texto em que postou no site da torcida, os ultras alegam que o racismo é presente na sociedade italiana. Porém, afirmam que a mídia utiliza dos ""casos isolados"" para tentar vender uma imagem violenta dos ultras (algo como as torcidas organizadas no Brasil, para efeito de comparação). Isso, na opinião deste grupo de torcedores, ajuda na criação de leis mais prejudiciais a eles.  Depois da partida contra o Hellas Verona, o Brescia demitiu o treinador e contratou o ex-jogador Fabio Grosso para comandar o time. Atualmente o clube ocupa a penúltima colocação do Campeonato Italiano, com 7 pontos em 10 jogos e não vence há sete partidas. Na terra da pizza, os três últimos colocados são rebaixados para a segunda divisão. ",esportes,,,,,,
2019-11-10,https://web.archive.org/web/20191110000012/https://globoesporte.globo.com/futebol/selecao-brasileira/noticia/wesley-moraes-do-aston-villa-e-convocado-para-a-selecao-brasileira-no-lugar-de-david-neres.ghtml,https://globoesporte.globo.com/futebol/selecao-brasileira/noticia/wesley-moraes-do-aston-villa-e-convocado-para-a-selecao-brasileira-no-lugar-de-david-neres.ghtml,"Wesley Moraes, do Aston Villa, é convocado para a seleção brasileira no lugar de David Neres"," O atacante Wesley Moraes será o substituto de David Neres nos amistosos da seleção brasileira contra Argentina e Coréia do Sul, nos dias 15 e 19 deste mês, na Arábia Saudita e em Abu Dhabi, respectivamente. O jogador do Aston Villa, da Inglaterra, foi convocado neste sábado pela primeira vez pelo técnico Tite.  Com passagens pelo futebol da Eslováquia e da Bélgica, Wesley Moraes tem 22 anos e é natural de Juiz de Fora, em Minas Gerais. No meio do ano ele ganhou destaque ao se tornar a contratação mais cara da história do Aston Villa, tendo sido vendido pelo Club Brugge por cerca de € 25 milhões (R$ 105 milhões).  David Neres foi cortado por uma lesão no joelho direito que o afastará dos campos até 2020.  Antes do corte de David Neres, o técnico Tite já havia perdido o goleiro Ederson também por lesão. O jogador do Manchester City, da Inglaterra, foi substituído por Santos, do Athletico-PR.  Wesley Moraes começou a carreira aos seis anos no futsal e chegou a fazer testes no Cruzeiro e no Atlético Mineiro. Depois, foi parar nas categorias de base do Itabuna, da Bahia, onde teve boa sequência de jogos, que o levou para o outro lado do mundo. Aos 17 anos, ele assinou o primeiro contrato profissional com o Trencin, da Eslováquia. Depois, ele foi jogar na Bélgica.  Os atletas convocados por Tite começam a se apresentar à Seleção nesta segunda-feira, dia 11, e serão liberados após a partida do dia 19.  Confira abaixo os 23 convocados por Tite para os amistosos no Oriente Médio: ",esportes,,,,,,
